"VariableName","Value","ValueLabel"
"State abbreviation (HD2020)","AL","Alabama"
"State abbreviation (HD2020)","AK","Alaska"
"State abbreviation (HD2020)","AZ","Arizona"
"State abbreviation (HD2020)","AR","Arkansas"
"State abbreviation (HD2020)","CA","California"
"State abbreviation (HD2020)","CO","Colorado"
"State abbreviation (HD2020)","CT","Connecticut"
"State abbreviation (HD2020)","DE","Delaware"
"State abbreviation (HD2020)","DC","District of Columbia"
"State abbreviation (HD2020)","FL","Florida"
"State abbreviation (HD2020)","GA","Georgia"
"State abbreviation (HD2020)","HI","Hawaii"
"State abbreviation (HD2020)","ID","Idaho"
"State abbreviation (HD2020)","IL","Illinois"
"State abbreviation (HD2020)","IN","Indiana"
"State abbreviation (HD2020)","IA","Iowa"
"State abbreviation (HD2020)","KS","Kansas"
"State abbreviation (HD2020)","KY","Kentucky"
"State abbreviation (HD2020)","LA","Louisiana"
"State abbreviation (HD2020)","ME","Maine"
"State abbreviation (HD2020)","MD","Maryland"
"State abbreviation (HD2020)","MA","Massachusetts"
"State abbreviation (HD2020)","MI","Michigan"
"State abbreviation (HD2020)","MN","Minnesota"
"State abbreviation (HD2020)","MS","Mississippi"
"State abbreviation (HD2020)","MO","Missouri"
"State abbreviation (HD2020)","MT","Montana"
"State abbreviation (HD2020)","NE","Nebraska"
"State abbreviation (HD2020)","NV","Nevada"
"State abbreviation (HD2020)","NH","New Hampshire"
"State abbreviation (HD2020)","NJ","New Jersey"
"State abbreviation (HD2020)","NM","New Mexico"
"State abbreviation (HD2020)","NY","New York"
"State abbreviation (HD2020)","NC","North Carolina"
"State abbreviation (HD2020)","ND","North Dakota"
"State abbreviation (HD2020)","OH","Ohio"
"State abbreviation (HD2020)","OK","Oklahoma"
"State abbreviation (HD2020)","OR","Oregon"
"State abbreviation (HD2020)","PA","Pennsylvania"
"State abbreviation (HD2020)","RI","Rhode Island"
"State abbreviation (HD2020)","SC","South Carolina"
"State abbreviation (HD2020)","SD","South Dakota"
"State abbreviation (HD2020)","TN","Tennessee"
"State abbreviation (HD2020)","TX","Texas"
"State abbreviation (HD2020)","UT","Utah"
"State abbreviation (HD2020)","VT","Vermont"
"State abbreviation (HD2020)","VA","Virginia"
"State abbreviation (HD2020)","WA","Washington"
"State abbreviation (HD2020)","WV","West Virginia"
"State abbreviation (HD2020)","WI","Wisconsin"
"State abbreviation (HD2020)","WY","Wyoming"
"FIPS state code (HD2020)","1","Alabama"
"FIPS state code (HD2020)","2","Alaska"
"FIPS state code (HD2020)","4","Arizona"
"FIPS state code (HD2020)","5","Arkansas"
"FIPS state code (HD2020)","6","California"
"FIPS state code (HD2020)","8","Colorado"
"FIPS state code (HD2020)","9","Connecticut"
"FIPS state code (HD2020)","10","Delaware"
"FIPS state code (HD2020)","11","District of Columbia"
"FIPS state code (HD2020)","12","Florida"
